aligned_x,step,time_min,convergence_DDP_1F1B,convergence_DiLoCo,convergence_ours,throughput_DDP_1F1B,throughput_DiLoCo,throughput_ours,ablation_no_error_feedback_no_grad_scaling,ablation_no_error_feedback,ablation_no_grad_scaling,ablation_ours
27,27,22.4235,9.8095,9.6703,9.2148,9.8801,6.4102,4.1626,10.1577,9.6924,10.0270,9.2414
28,28,23.2540,9.7216,9.5532,9.1553,9.8488,5.9908,3.7059,10.1011,9.6218,9.9364,9.1289
29,29,24.0845,9.6499,9.4885,8.9808,9.7384,5.5615,3.3772,10.0422,9.4842,9.9015,8.9703
30,30,24.9150,9.5693,9.3726,8.8257,9.6415,5.2024,3.0002,10.0824,9.4295,9.8110,8.8159
31,31,25.7455,9.4494,9.1986,8.6384,9.6021,4.7571,2.7068,9.9570,9.3067,9.6728,8.6443
32,32,26.5760,9.3595,9.1004,8.4458,9.5222,4.4043,2.4534,9.9484,9.1947,9.6211,8.4453
33,33,27.4065,9.2146,9.0158,8.2459,9.3888,4.0224,2.2474,9.8207,9.0980,9.5640,8.2976
34,34,28.2370,9.1640,8.8444,8.0802,9.3893,3.7159,2.0358,9.7980,8.9158,9.5122,8.0610
35,35,29.0675,9.0247,8.7541,7.8784,9.2126,3.4409,1.9003,9.7139,8.8240,9.3990,7.8844
36,36,29.8980,8.9095,8.5842,7.6256,9.0836,3.1216,1.7657,9.7447,8.6677,9.2498,7.6396
37,37,30.7285,8.7906,8.4602,7.3580,8.9638,2.9204,1.6180,9.6327,8.5624,9.2299,7.3461
38,38,31.5590,8.6367,8.2585,7.1314,8.8594,2.6598,1.5004,9.5333,8.3556,9.1415,7.1369
39,39,32.3895,8.5172,8.0706,6.8865,8.7711,2.4205,1.4586,9.4719,8.2140,8.9422,6.8465
40,40,33.2200,8.3234,7.8798,6.6644,8.6148,2.2741,1.4095,9.4029,8.0349,8.8837,6.6067
41,41,34.0505,8.1382,7.6581,6.3062,8.4787,2.1057,1.3211,9.3136,7.8160,8.8302,6.3742
42,42,34.8810,7.9835,7.4556,6.1249,8.3299,1.9471,1.2608,9.2537,7.6194,8.6514,6.0756
43,43,35.7115,7.7639,7.2222,5.8459,8.1749,1.8444,1.2319,9.1363,7.4264,8.5371,5.8288
44,44,36.5420,7.6237,7.0367,5.5619,8.0431,1.7597,1.2093,9.0593,7.2547,8.3271,5.5558
45,45,37.3725,7.3935,6.8340,5.2526,7.8642,1.6496,1.1856,8.9623,7.0753,8.2377,5.2853
46,46,38.2030,7.1620,6.5697,5.0100,7.6955,1.5589,1.1702,8.8725,6.8600,8.0203,5.0310
47,47,39.0335,7.0264,6.3779,4.7490,7.5013,1.5043,1.1331,8.6957,6.7185,7.9535,4.7692
48,48,39.8640,6.8001,6.1054,4.5058,7.3061,1.4441,1.1373,8.6341,6.4580,7.7484,4.5241
49,49,40.6945,6.5508,5.9147,4.2997,7.1243,1.4130,1.1369,8.4985,6.2023,7.5741,4.3009
50,50,41.5250,6.3919,5.6609,4.0281,6.9200,1.3556,1.1025,8.4627,6.0161,7.3731,4.0114
51,51,42.3555,6.1472,5.3928,3.8047,6.7255,1.3239,1.1178,8.3117,5.7738,7.2492,3.8193
52,52,43.1860,5.9260,5.1671,3.5831,6.5107,1.2813,1.0860,8.1246,5.5884,7.0842,3.5981
53,53,44.0165,5.7322,4.9576,3.4000,6.3561,1.2690,1.0890,8.0145,5.3504,6.8741,3.4269
54,54,44.8470,5.5027,4.7585,3.2150,6.1293,1.2833,1.0840,7.8640,5.2239,6.7779,3.2002
55,55,45.6775,5.2695,4.5127,3.0176,5.9150,1.2331,1.0637,7.7915,4.9494,6.5486,3.0247
56,56,46.5080,5.0839,4.3136,2.8483,5.7304,1.2219,1.0525,7.6778,4.8161,6.4176,2.8649
57,57,47.3385,4.8436,4.0940,2.6695,5.5471,1.1844,1.0752,7.4783,4.4896,6.1434,2.6788
58,58,48.1690,4.7014,3.9067,2.5188,5.2805,1.1930,1.0721,7.2878,4.3572,5.9675,2.5466
59,59,48.9995,4.4610,3.6984,2.4176,5.1543,1.1909,1.0636,7.2261,4.1659,5.7325,2.4035
60,60,49.8300,4.2811,3.5051,2.3001,4.9132,1.1677,1.0705,7.0844,3.9957,5.5991,2.2942
61,61,50.6605,4.1301,3.3455,2.1742,4.7500,1.1871,1.0567,6.8420,3.8141,5.3561,2.1558
62,62,51.4910,3.8990,3.1881,2.0795,4.5302,1.1607,1.0545,6.7772,3.6400,5.2091,2.0735
63,63,52.3215,3.7000,3.0791,1.9703,4.3820,1.1636,1.0735,6.5720,3.4860,5.0227,2.0133
64,64,53.1520,3.5204,2.9059,1.8936,4.1904,1.1591,1.0578,6.4536,3.3438,4.9125,1.8452
65,65,53.9825,3.4079,2.7501,1.7992,3.9973,1.1735,1.0640,6.3650,3.2037,4.6712,1.8297
66,66,54.8130,3.2666,2.6272,1.7159,3.8428,1.1733,1.0648,6.1686,3.0737,4.5139,1.7297
67,67,55.6435,3.1169,2.4766,1.6748,3.6630,1.1250,1.0668,6.0229,2.9469,4.3377,1.6767
68,68,56.4740,2.9680,2.3961,1.6011,3.5183,1.1397,1.0690,5.8927,2.8289,4.1559,1.6111
69,69,57.3045,2.8312,2.2923,1.5387,3.3674,1.1754,1.0597,5.7341,2.7125,4.0687,1.5767
70,70,58.1350,2.7338,2.2097,1.5162,3.2308,1.1551,1.0660,5.5504,2.6281,3.9058,1.5289
71,71,58.9655,2.6146,2.0891,1.4680,3.0732,1.1488,1.0400,5.3756,2.5009,3.7819,1.4454
72,72,59.7960,2.4811,2.0392,1.4024,2.9620,1.1100,1.0455,5.3144,2.4001,3.6502,1.4257
73,73,60.6265,2.3980,1.8927,1.3769,2.8607,1.1370,1.0631,5.1043,2.3163,3.5313,1.3895
74,74,61.4570,2.3404,1.8970,1.3286,2.6858,1.1377,1.0488,4.9960,2.2587,3.3667,1.3587
75,75,62.2875,2.2447,1.7901,1.3333,2.6300,1.1512,1.0549,4.8201,2.2044,3.2785,1.3074
76,76,63.1180,2.1323,1.7334,1.2922,2.5203,1.1306,1.0528,4.8221,2.1381,3.2169,1.2854
77,77,63.9485,2.0641,1.7352,1.2612,2.4335,1.1555,1.0772,4.5744,2.0860,3.1212,1.2759
78,78,64.7790,2.0375,1.6469,1.2539,2.3037,1.1215,1.0637,4.5207,1.9665,2.9656,1.2513
79,79,65.6095,1.9555,1.5863,1.2271,2.3117,1.1420,1.0600,4.3836,1.9774,2.9296,1.2259
80,80,66.4400,1.8952,1.5827,1.2062,2.1820,1.1382,1.0568,4.2619,1.8960,2.7892,1.2162
81,81,67.2705,1.8311,1.4970,1.1888,2.1149,1.1296,1.0468,4.0964,1.9184,2.7249,1.1975
82,82,68.1010,1.7791,1.4696,1.2012,2.0067,1.1100,1.0726,4.0446,1.8112,2.6151,1.2009
83,83,68.9315,1.7541,1.4631,1.2024,2.0033,1.1205,1.0550,4.0238,1.7412,2.5725,1.1889
84,84,69.7620,1.7184,1.4391,1.1485,1.8913,1.1363,1.0632,3.8878,1.7962,2.4985,1.1532
85,85,70.5925,1.7023,1.3998,1.1110,1.8611,1.1513,1.0426,3.7402,1.7188,2.4769,1.1738
86,86,71.4230,1.5859,1.3287,1.1561,1.8286,1.1430,1.0422,3.7113,1.7279,2.3736,1.1461
87,87,72.2535,1.5991,1.3523,1.1209,1.7589,1.1246,1.0499,3.5937,1.6845,2.3454,1.1415
88,88,73.0840,1.5587,1.3270,1.1526,1.7052,1.1288,1.0400,3.5014,1.6095,2.2663,1.1371
89,89,73.9145,1.5343,1.2902,1.1258,1.6797,1.1100,1.0400,3.4255,1.6194,2.2151,1.1276
90,90,74.7450,1.4812,1.3110,1.0868,1.6225,1.1392,1.0469,3.3566,1.6168,2.1860,1.0920
91,91,75.5755,1.5008,1.2913,1.0731,1.5950,1.1312,1.0460,3.3613,1.5810,2.1045,1.1207
92,92,76.4060,1.4674,1.2897,1.0960,1.5939,1.1581,1.0726,3.2090,1.5627,2.1324,1.1167
93,93,77.2365,1.4872,1.2910,1.1303,1.5328,1.1286,1.0446,3.1285,1.5496,2.0713,1.1241
94,94,78.0670,1.4026,1.2226,1.0849,1.5026,1.1277,1.0703,3.1328,1.5592,2.0256,1.0881
95,95,78.8975,1.4215,1.2254,1.0803,1.5181,1.1100,1.0400,3.0512,1.5345,1.9920,1.1064
96,96,79.7280,1.4273,1.2077,1.0890,1.4630,1.1255,1.0520,3.0242,1.4529,1.9810,1.0827
97,97,80.5585,1.3594,1.2190,1.0977,1.4505,1.1431,1.0425,2.9648,1.4978,1.9182,1.0858
98,98,81.3890,1.3692,1.1800,1.1071,1.4291,1.1217,1.0593,2.8906,1.4863,1.9237,1.0909
99,99,82.2195,1.3342,1.2147,1.0818,1.4449,1.1477,1.0465,2.8539,1.5016,1.9145,1.0809
100,100,83.0500,1.3182,1.1961,1.0791,1.3707,1.1298,1.0466,2.8282,1.4554,1.8917,1.0970
101,101,83.8805,1.3368,1.1919,1.0673,1.3985,1.1292,1.0530,2.7913,1.4334,1.9051,1.0985
102,102,84.7110,1.3342,1.1961,1.0824,1.3706,1.1380,1.0400,2.7627,1.4580,1.8300,1.0946
103,103,85.5415,1.2951,1.1594,1.0683,1.3390,1.1277,1.0400,2.6664,1.4390,1.8095,1.0964
104,104,86.3720,1.3236,1.1874,1.0839,1.3516,1.1147,1.0453,2.7140,1.4178,1.8289,1.0729
105,105,87.2025,1.2881,1.2059,1.0871,1.3594,1.1188,1.0718,2.6401,1.4522,1.7593,1.0840
106,106,88.0330,1.2917,1.1729,1.0589,1.3335,1.1242,1.0562,2.6376,1.4469,1.7641,1.0682
107,107,88.8635,1.2543,1.1764,1.0800,1.2997,1.1524,1.0579,2.6310,1.4051,1.8062,1.0754
108,108,89.6940,1.3027,1.1595,1.0776,1.3018,1.1151,1.0581,2.5665,1.4152,1.8084,1.0754
109,109,90.5245,1.2679,1.1830,1.0553,1.3043,1.1134,1.0584,2.5200,1.4026,1.7930,1.0981
110,110,91.3550,1.2663,1.1711,1.0829,1.2803,1.1362,1.0586,2.5693,1.4179,1.7727,1.0713
111,111,92.1855,1.2597,1.1683,1.0731,1.2738,1.1182,1.0588,2.4756,1.4041,1.7477,1.0612
112,112,93.0160,1.2200,1.1777,1.0400,1.2983,1.1402,1.0590,2.4711,1.4119,1.7240,1.0540
113,113,93.8465,1.2653,1.1537,1.0922,1.2594,1.1100,1.0592,2.5035,1.4164,1.7438,1.0504
114,114,94.6770,1.2466,1.1244,1.0610,1.2595,1.1277,1.0594,2.4100,1.4133,1.7123,1.0765
115,115,95.5075,1.2404,1.1404,1.0534,1.2429,1.1280,1.0595,2.4225,1.4025,1.6903,1.0747
116,116,96.3380,1.2458,1.1330,1.0400,1.2718,1.1283,1.0596,2.4442,1.4049,1.7147,1.0735
117,117,97.1685,1.2586,1.1521,1.0738,1.2510,1.1286,1.0596,2.4222,1.4380,1.7117,1.0543
118,118,97.9990,1.2036,1.1437,1.0824,1.2136,1.1288,1.0596,2.3941,1.3704,1.6218,1.0615
119,119,98.8295,1.2586,1.1328,1.0656,1.2444,1.1291,1.0596,2.3697,1.4064,1.6768,1.0500
120,120,99.6600,1.2374,1.1720,1.0409,1.2164,1.1293,1.0595,2.4070,1.4072,1.6752,1.0551
121,121,100.4905,1.2383,1.1238,1.0559,1.2332,1.1295,1.0593,2.4093,1.4156,1.6557,1.0754
122,122,101.3210,1.2486,1.1269,1.0781,1.2242,1.1296,1.0591,2.3460,1.3829,1.6687,1.0500
123,123,102.1515,1.2333,1.1291,1.0599,1.2166,1.1297,1.0588,2.2980,1.4257,1.6460,1.0779
124,124,102.9820,1.2501,1.1443,1.0645,1.2140,1.1297,1.0585,2.3284,1.3743,1.6427,1.0601
125,125,103.8125,1.2251,1.1254,1.0703,1.2024,1.1297,1.0581,2.3418,1.4069,1.6527,1.0694
126,126,104.6430,1.2513,1.1397,1.0548,1.2212,1.1296,1.0577,2.3110,1.3814,1.6447,1.0858
127,127,105.4735,1.2443,1.1517,1.0562,1.2205,1.1294,1.0572,2.3235,1.3593,1.6729,1.0500
128,128,106.3040,1.1940,1.1309,1.0787,1.2333,1.1292,1.0567,2.3317,1.3769,1.6330,1.0820
129,129,107.1345,1.2202,1.1565,1.0466,1.2100,1.1289,1.0561,2.2607,1.3726,1.6155,1.0584
130,130,107.9650,1.2064,1.1538,1.0400,1.2105,1.1286,1.0554,2.2884,1.3774,1.6705,1.0582
131,131,108.7955,1.2302,1.1763,1.0400,1.2306,1.1282,1.0548,2.2634,1.3615,1.6145,1.0753
132,132,109.6260,1.2499,1.1391,1.0628,1.1976,1.1277,1.0541,2.2714,1.3541,1.6155,1.0696
133,133,110.4565,1.2021,1.1403,1.0677,1.2174,1.1272,1.0533,2.2980,1.4091,1.5984,1.0550
134,134,111.2870,1.2251,1.1359,1.0893,1.2155,1.1266,1.0526,2.2316,1.3803,1.6230,1.0911
135,135,112.1175,1.2251,1.1285,1.0591,1.2241,1.1259,1.0518,2.2430,1.3802,1.6214,1.0710
136,136,112.9480,1.2408,1.1425,1.0659,1.1713,1.1252,1.0510,2.2532,1.3467,1.6281,1.0860
137,137,113.7785,1.2214,1.1338,1.0610,1.2002,1.1245,1.0502,2.2712,1.3958,1.6341,1.0500
138,138,114.6090,1.1918,1.1437,1.0689,1.1929,1.1237,1.0494,2.2784,1.3794,1.6202,1.0704
139,139,115.4395,1.2147,1.1131,1.0570,1.1945,1.1229,1.0486,2.2473,1.3812,1.6141,1.0585
140,140,116.2700,1.2077,1.1398,1.0448,1.2152,1.1220,1.0478,2.2326,1.3818,1.6443,1.0693
141,141,117.1005,1.1800,1.1635,1.0601,1.1660,1.1212,1.0470,2.1961,1.3648,1.6538,1.0568
142,142,117.9310,1.2089,1.1305,1.0666,1.1805,1.1203,1.0463,2.2087,1.3787,1.6121,1.0500
143,143,118.7615,1.2414,1.1282,1.0687,1.1600,1.1195,1.0456,2.2204,1.3534,1.6371,1.0747
144,144,119.5920,1.2133,1.1263,1.0598,1.1825,1.1186,1.0449,2.1936,1.3627,1.5800,1.0500
145,145,120.4225,1.2276,1.1463,1.0531,1.2045,1.1178,1.0442,2.1849,1.3759,1.6350,1.0575
146,146,121.2530,1.1994,1.1129,1.0400,1.1858,1.1170,1.0436,2.1802,1.3597,1.6051,1.0645
147,147,122.0835,1.2392,1.1212,1.0427,1.1600,1.1162,1.0430,2.2150,1.3757,1.6074,1.0599
148,148,122.9140,1.2129,1.1361,1.0542,1.1806,1.1154,1.0425,2.2438,1.3721,1.6285,1.0883
149,149,123.7445,1.2050,1.1280,1.0573,1.1874,1.1147,1.0421,2.2521,1.3660,1.6133,1.0687
150,150,124.5750,1.2131,1.1100,1.0664,1.1842,1.1141,1.0417,2.2238,1.3737,1.5800,1.0602
151,151,125.4055,1.1979,1.1428,1.0616,1.2041,1.1135,1.0414,2.1889,1.3507,1.6350,1.0668
152,152,126.2360,1.2066,1.1359,1.0637,1.1701,1.1129,1.0411,2.1881,1.4057,1.6016,1.0830
153,153,127.0665,1.2068,1.1306,1.0653,1.1656,1.1124,1.0409,2.1942,1.3827,1.6060,1.0597
154,154,127.8970,1.2129,1.1350,1.0571,1.1798,1.1120,1.0407,2.1528,1.3695,1.6079,1.0829
155,155,128.7275,1.2165,1.1437,1.0639,1.1942,1.1117,1.0407,2.1920,1.3445,1.5800,1.0662
156,156,129.5580,1.1822,1.1100,1.0612,1.2278,1.1114,1.0407,2.1746,1.3839,1.5800,1.0500
157,157,130.3885,1.2178,1.1117,1.0625,1.1600,1.1112,1.0407,2.2296,1.3805,1.5800,1.0779
158,158,131.2190,1.2018,1.1100,1.0431,1.1703,1.1111,1.0408,2.1894,1.3698,1.6253,1.0536
159,159,132.0495,1.1839,1.1167,1.0454,1.1600,1.1111,1.0410,2.1849,1.3832,1.5923,1.0576
160,160,132.8800,1.1800,1.1277,1.0440,1.1730,1.1111,1.0412,2.1737,1.3919,1.6018,1.0773
161,161,133.7105,1.1954,1.1147,1.0402,1.1815,1.1112,1.0415,2.1779,1.3486,1.5800,1.0500
162,162,134.5410,1.1845,1.1245,1.0400,1.1947,1.1114,1.0418,2.1604,1.3400,1.5975,1.0630
163,163,135.3715,1.1926,1.1457,1.0460,1.1914,1.1116,1.0422,2.2154,1.3818,1.5800,1.0688
164,164,136.2020,1.1934,1.1217,1.0627,1.1600,1.1119,1.0426,2.1544,1.3411,1.6350,1.0759
165,165,137.0325,1.2281,1.1457,1.0479,1.1813,1.1123,1.0430,2.1961,1.3617,1.6256,1.0664
166,166,137.8630,1.1874,1.1262,1.0400,1.1853,1.1127,1.0435,2.1893,1.3400,1.5800,1.0514
167,167,138.6935,1.1903,1.1430,1.0650,1.1808,1.1131,1.0439,2.1708,1.3758,1.5971,1.0865
168,168,139.5240,1.2101,1.1450,1.0624,1.1981,1.1136,1.0444,2.1933,1.3756,1.6003,1.0626
169,169,140.3545,1.2114,1.1100,1.0400,1.1710,1.1141,1.0449,2.1706,1.3806,1.6195,1.0555
170,170,141.1850,1.2393,1.1278,1.0400,1.1637,1.1147,1.0454,2.1500,1.3411,1.5800,1.0567
171,171,142.0155,1.1960,1.1100,1.0400,1.2078,1.1152,1.0459,2.2050,1.3662,1.6350,1.0500
172,172,142.8460,1.2148,1.1100,1.0400,1.1896,1.1157,1.0464,2.1637,1.3512,1.5852,1.0511
173,173,143.6765,1.1852,1.1100,1.0510,1.1804,1.1163,1.0469,2.1500,1.3608,1.6062,1.0500
174,174,144.5070,1.2062,1.1200,1.0635,1.2017,1.1168,1.0474,2.1806,1.3737,1.6071,1.0547
175,175,145.3375,1.1995,1.1360,1.0400,1.1777,1.1173,1.0478,2.2041,1.3591,1.6159,1.0799
176,176,146.1680,1.2061,1.1129,1.0400,1.1614,1.1178,1.0482,2.1944,1.3411,1.5800,1.0782
177,177,146.9985,1.2008,1.1100,1.0657,1.1919,1.1183,1.0485,2.1798,1.3613,1.6219,1.0710
178,178,147.8290,1.2089,1.1289,1.0400,1.1661,1.1187,1.0488,2.2038,1.3702,1.5822,1.0500
179,179,148.6595,1.2115,1.1432,1.0400,1.1655,1.1191,1.0491,2.1857,1.3400,1.5800,1.0799
180,180,149.4900,1.1861,1.1194,1.0400,1.1600,1.1194,1.0493,2.1746,1.3605,1.5800,1.0500
181,181,150.3205,1.2026,1.1328,1.0400,1.1937,1.1196,1.0495,2.1621,1.3400,1.5930,1.0500
182,182,151.1510,1.2253,1.1138,1.0566,1.1790,1.1198,1.0496,2.1942,1.3417,1.5901,1.0611
183,183,151.9815,1.1929,1.1386,1.0466,1.1795,1.1200,1.0496,2.1500,1.3842,1.6034,1.0858
184,184,152.8120,1.2180,1.1306,1.0400,1.1785,1.1200,1.0496,2.1587,1.3400,1.6281,1.0618
185,185,153.6425,1.2079,1.1476,1.0569,1.1674,1.1200,1.0495,2.1774,1.3400,1.5864,1.0500
186,186,154.4730,1.1849,1.1370,1.0500,1.1948,1.1200,1.0494,2.1636,1.3870,1.6414,1.0500
187,187,155.3035,1.1800,1.1100,1.0599,1.1742,1.1198,1.0492,2.1698,1.3400,1.5800,1.0738
188,188,156.1340,1.2034,1.1408,1.0461,1.1818,1.1196,1.0490,2.1705,1.3687,1.6188,1.0648
189,189,156.9645,1.1847,1.1369,1.0588,1.1668,1.1193,1.0486,2.1817,1.3400,1.6047,1.0557
190,190,157.7950,1.2153,1.1250,1.0548,1.2218,1.1190,1.0483,2.1500,1.3574,1.5882,1.0510
191,191,158.6255,1.1905,1.1221,1.0400,1.1964,1.1186,1.0479,2.2050,1.3629,1.6033,1.0738
192,192,159.4560,1.1896,1.1107,1.0421,1.1665,1.1181,1.0474,2.1500,1.3483,1.5942,1.0517
193,193,160.2865,1.2066,1.1100,1.0629,1.1632,1.1176,1.0469,2.1808,1.3622,1.6385,1.0716
194,194,161.1170,1.1953,1.1277,1.0699,1.1692,1.1170,1.0464,2.1500,1.3838,1.5954,1.0698
195,195,161.9475,1.1800,1.1100,1.0568,1.1951,1.1164,1.0458,2.1853,1.3932,1.6128,1.0586
196,196,162.7780,1.1800,1.1239,1.0400,1.1639,1.1158,1.0452,2.1872,1.3400,1.6259,1.0711
197,197,163.6085,1.2129,1.1148,1.0400,1.1788,1.1151,1.0446,2.1500,1.3400,1.5800,1.0621
198,198,164.4390,1.1949,1.1113,1.0596,1.1911,1.1144,1.0439,2.2050,1.3626,1.6140,1.0500
199,199,165.2695,1.1800,1.1228,1.0705,1.1813,1.1137,1.0433,2.1616,1.3452,1.5977,1.0500
200,200,166.1000,1.1800,1.1100,1.0400,1.1600,1.1130,1.0426,2.1500,1.3400,1.6060,1.0531
